id,deal_id,stage,entered_at,exited_at
f8f852dc-c6aa-4a08-b8d2-e9e1e942ce9c,58931704-d3e7-4512-814c-571570f38cab,qualifying,2018-10-03 03:54:14,2018-10-17 03:54:14
ad6d54a4-0c43-4f81-866b-5037aba031d7,58931704-d3e7-4512-814c-571570f38cab,validating,2018-10-17 03:54:14,2018-10-27 03:54:14
d1e36fe5-60b8-425f-b884-953568b7aecb,58931704-d3e7-4512-814c-571570f38cab,progressing,2018-10-27 03:54:14,2018-12-25 03:54:14
0bfc8da6-986b-4a28-84c0-39de77635a4b,bef1873c-b000-41c2-8d7e-a599a5a85cd0,qualifying,2019-05-27 03:54:14,2019-06-01 03:54:14
948bcb4d-22e7-48ab-8077-d64be4ea49cc,bef1873c-b000-41c2-8d7e-a599a5a85cd0,validating,2019-06-01 03:54:14,2019-06-18 03:54:14
5e1f33bd-6289-48e4-b758-cd93043abe12,bef1873c-b000-41c2-8d7e-a599a5a85cd0,progressing,2019-06-18 03:54:14,2019-06-26 03:54:14
766e93fd-38e9-4035-9103-11209d193d2c,e0ac2628-6c46-4a24-a921-d469769f389d,qualifying,2020-03-06 03:54:14,2020-03-10 03:54:14
8336cbd3-92c9-4faf-a26c-117ca8a67a3c,e0ac2628-6c46-4a24-a921-d469769f389d,validating,2020-03-10 03:54:14,2020-04-01 03:54:14
7d6dca48-a102-4a81-8c78-be175cbed108,e0ac2628-6c46-4a24-a921-d469769f389d,progressing,2020-04-01 03:54:14,2020-04-05 03:54:14
330b4b27-644e-41fb-a52d-dd6bc24348cf,b70f4c35-366b-492b-97fa-6b2bddee1c98,qualifying,2020-10-13 03:54:14,2020-10-20 03:54:14
0505acdc-194d-410f-96dd-8ed818d87ee5,b70f4c35-366b-492b-97fa-6b2bddee1c98,validating,2020-10-20 03:54:14,2020-11-09 03:54:14
f3cbf388-8ce8-45dc-bbfd-d5138dc1b702,b70f4c35-366b-492b-97fa-6b2bddee1c98,progressing,2020-11-09 03:54:14,2020-11-17 03:54:14
473b78b3-f366-4608-9820-ac7a039d070e,4aa56009-7a64-4fb6-a198-cfaceacd9b6d,qualifying,2021-11-03 03:54:14,2021-11-06 03:54:14
b1936973-6fe0-4a8b-82c6-4f2b738f46a3,4aa56009-7a64-4fb6-a198-cfaceacd9b6d,validating,2021-11-06 03:54:14,2021-12-03 03:54:14
56fc2572-f943-443d-9db8-85ef2cfee099,4aa56009-7a64-4fb6-a198-cfaceacd9b6d,progressing,2021-12-03 03:54:14,2021-12-19 03:54:14
eca5ad0a-db4a-43d1-891f-834afb0a8c9b,4aa56009-7a64-4fb6-a198-cfaceacd9b6d,focus,2021-12-19 03:54:14,2021-12-28 03:54:14
ae763e81-8973-4e98-bf23-bc2e6f239ab1,4aa56009-7a64-4fb6-a198-cfaceacd9b6d,negotiating,2021-12-28 03:54:14,2021-12-08 03:54:14
5c3dd767-812e-42f7-b363-05b77bd0228a,87102cbd-57b2-44f4-8945-93a3491ec8ab,qualifying,2022-08-11 03:54:14,2022-08-17 03:54:14
caa0e72c-c01b-4259-87b8-cc946b956343,87102cbd-57b2-44f4-8945-93a3491ec8ab,validating,2022-08-17 03:54:14,2022-09-10 03:54:14
49ef79fd-5311-4b87-a9ee-c20288e3883f,87102cbd-57b2-44f4-8945-93a3491ec8ab,progressing,2022-09-10 03:54:14,2022-09-11 03:54:14
e94982c6-da2d-4ab7-b0d7-f19fb8a29202,584bc067-49c3-49e2-a1d3-569ebab75c20,qualifying,2024-09-14 03:54:14,2024-09-21 03:54:14
9d59b356-771b-4336-b357-1d7d5c782093,584bc067-49c3-49e2-a1d3-569ebab75c20,validating,2024-09-21 03:54:14,2024-10-17 03:54:14
e2a173c0-865c-4b5d-b222-2717f5bc3ca8,584bc067-49c3-49e2-a1d3-569ebab75c20,progressing,2024-10-17 03:54:14,2024-11-24 03:54:14
4a0d668c-3e68-4c31-b934-2897a5a542f3,cdc95411-0996-4062-a299-c27aeb7c6d94,qualifying,2025-04-03 03:54:14,2025-04-14 03:54:14
4ee3cf71-92ac-41d4-838b-387b968207bb,cdc95411-0996-4062-a299-c27aeb7c6d94,validating,2025-04-14 03:54:14,2025-05-09 03:54:14
306df2f7-ca16-4665-8f22-d164c90c6d2b,cdc95411-0996-4062-a299-c27aeb7c6d94,progressing,2025-05-09 03:54:14,2025-05-24 03:54:14
6e809873-88df-48d4-9c5f-f535ce8c6a49,c1b0be10-cd7d-430e-91d6-f5d788afeaf8,qualifying,2025-10-12 03:54:14,2025-10-26 03:54:14
a588f447-56f4-4a31-bda8-2555791d87a7,c1b0be10-cd7d-430e-91d6-f5d788afeaf8,validating,2025-10-26 03:54:14,2025-11-16 03:54:14
53af09be-169a-4861-ae5b-8d41d2a0a401,c1b0be10-cd7d-430e-91d6-f5d788afeaf8,progressing,2025-11-16 03:54:14,2026-01-04 03:54:14
da5915d5-37a0-47aa-a8be-874a3a7a860f,5c05667e-47f4-4925-883d-ef79fc159755,qualifying,2026-02-20 03:54:14,2026-02-26 03:54:14
2056f4d2-f0f0-4cde-9d81-e4d3e589c0be,5c05667e-47f4-4925-883d-ef79fc159755,validating,2026-02-26 03:54:14,2026-03-13 03:54:14
b51a38f6-428d-4418-af07-27e422b9c528,5c05667e-47f4-4925-883d-ef79fc159755,progressing,2026-03-13 03:54:14,2026-03-28 03:54:14
4e63ea56-c9d0-4399-bdec-cf334baa965f,504ad240-d31a-47ef-a62c-d78eab3c2e06,qualifying,2018-05-10 03:54:14,2018-05-15 03:54:14
6b2b13d9-45c0-4629-bb0a-47f2c4c91467,504ad240-d31a-47ef-a62c-d78eab3c2e06,validating,2018-05-15 03:54:14,2018-05-22 03:54:14
