call_id,person_id,role
902eb736-3e9f-4287-9eef-f89f77fd6363,bbaca86f-d318-410f-b984-21485e1fd7eb,host
902eb736-3e9f-4287-9eef-f89f77fd6363,3e35d706-3de7-4b62-97fd-c73ecbe983ee,attendee
cc8e886c-88af-4971-8bcb-61ad6420845d,bbaca86f-d318-410f-b984-21485e1fd7eb,host
cc8e886c-88af-4971-8bcb-61ad6420845d,3e35d706-3de7-4b62-97fd-c73ecbe983ee,attendee
cc8e886c-88af-4971-8bcb-61ad6420845d,b89186cd-a943-4192-8fa0-50b6ec2306be,attendee
cc8e886c-88af-4971-8bcb-61ad6420845d,f206c805-9ce6-4f5b-bf60-fd3aa8af0bcf,attendee
fa670eec-0778-41e0-ae18-c0e489563724,dbe03f3b-518d-4fcd-b4e2-c6047210040d,host
fa670eec-0778-41e0-ae18-c0e489563724,e87b8408-5be9-4751-9eae-c63407d3e61e,attendee
fa670eec-0778-41e0-ae18-c0e489563724,22b2d4d7-802b-43b5-86f2-1f137ab2ec35,attendee
fa670eec-0778-41e0-ae18-c0e489563724,f575f717-a394-4598-82ad-74a0f24007ed,attendee
4225d36a-300c-4516-b5fc-f98d4fdef418,dbe03f3b-518d-4fcd-b4e2-c6047210040d,host
4225d36a-300c-4516-b5fc-f98d4fdef418,22b2d4d7-802b-43b5-86f2-1f137ab2ec35,attendee
1cb9db9c-bb1b-426c-ac70-d5bb9ee692a3,dbe03f3b-518d-4fcd-b4e2-c6047210040d,host
1cb9db9c-bb1b-426c-ac70-d5bb9ee692a3,22b2d4d7-802b-43b5-86f2-1f137ab2ec35,attendee
5dc244e6-bcc9-4c94-b853-36bc21fdbdad,dbe03f3b-518d-4fcd-b4e2-c6047210040d,host
5dc244e6-bcc9-4c94-b853-36bc21fdbdad,e506293b-7890-40c9-af3b-02def274990b,attendee
5dc244e6-bcc9-4c94-b853-36bc21fdbdad,913fdcbc-50ab-4f22-827a-7df121ebf2b8,attendee
5dc244e6-bcc9-4c94-b853-36bc21fdbdad,eaa0f9d1-3bfc-467e-b4c1-be4bf30f4a3b,attendee
760d5f0e-cdae-4754-8ee7-44fc5a1f5425,dbe03f3b-518d-4fcd-b4e2-c6047210040d,host
760d5f0e-cdae-4754-8ee7-44fc5a1f5425,913fdcbc-50ab-4f22-827a-7df121ebf2b8,attendee
760d5f0e-cdae-4754-8ee7-44fc5a1f5425,eaa0f9d1-3bfc-467e-b4c1-be4bf30f4a3b,attendee
56ec914d-2c12-4b49-9cf2-b571a365bce9,dbe03f3b-518d-4fcd-b4e2-c6047210040d,host
56ec914d-2c12-4b49-9cf2-b571a365bce9,913fdcbc-50ab-4f22-827a-7df121ebf2b8,attendee
56ec914d-2c12-4b49-9cf2-b571a365bce9,eaa0f9d1-3bfc-467e-b4c1-be4bf30f4a3b,attendee
3e03cf16-b78f-486b-9f5d-8ecb39937c1d,dbe03f3b-518d-4fcd-b4e2-c6047210040d,host
3e03cf16-b78f-486b-9f5d-8ecb39937c1d,913fdcbc-50ab-4f22-827a-7df121ebf2b8,attendee
