id,company_id,deal_id,call_date,duration_min,phase,type,notes
902eb736-3e9f-4287-9eef-f89f77fd6363,e739e75e-2a2c-43fe-81c5-b3b665061821,5d74aa43-7cd7-42a7-9686-f018a98248fa,2022-04-23,45,pre_sale,negotiation,
cc8e886c-88af-4971-8bcb-61ad6420845d,e739e75e-2a2c-43fe-81c5-b3b665061821,5d74aa43-7cd7-42a7-9686-f018a98248fa,2022-04-28,45,pre_sale,demo,
fa670eec-0778-41e0-ae18-c0e489563724,c96bb386-5ca6-43d9-83b5-f471149a2500,9af4d33d-e244-452d-8d03-0c37f1ebdc16,2022-09-20,60,pre_sale,evaluation,
4225d36a-300c-4516-b5fc-f98d4fdef418,c96bb386-5ca6-43d9-83b5-f471149a2500,9af4d33d-e244-452d-8d03-0c37f1ebdc16,2022-10-05,90,pre_sale,evaluation,
1cb9db9c-bb1b-426c-ac70-d5bb9ee692a3,c96bb386-5ca6-43d9-83b5-f471149a2500,9af4d33d-e244-452d-8d03-0c37f1ebdc16,2022-10-14,30,pre_sale,discovery,
5dc244e6-bcc9-4c94-b853-36bc21fdbdad,9c04e715-2924-4518-84cb-f6e81ae781a4,24ba67d7-dc60-40e5-8a4a-6b8782bebf33,2024-04-18,90,pre_sale,demo,
760d5f0e-cdae-4754-8ee7-44fc5a1f5425,9c04e715-2924-4518-84cb-f6e81ae781a4,24ba67d7-dc60-40e5-8a4a-6b8782bebf33,2024-05-02,45,pre_sale,discovery,
56ec914d-2c12-4b49-9cf2-b571a365bce9,9c04e715-2924-4518-84cb-f6e81ae781a4,24ba67d7-dc60-40e5-8a4a-6b8782bebf33,2024-05-09,90,pre_sale,evaluation,
3e03cf16-b78f-486b-9f5d-8ecb39937c1d,9c04e715-2924-4518-84cb-f6e81ae781a4,24ba67d7-dc60-40e5-8a4a-6b8782bebf33,2024-05-20,90,pre_sale,discovery,
e9e51c01-ecb6-47c6-9855-2558e8f209dc,9c04e715-2924-4518-84cb-f6e81ae781a4,24ba67d7-dc60-40e5-8a4a-6b8782bebf33,2024-05-27,60,pre_sale,demo,
b5064f1a-196d-40c0-8405-142f122a193c,cd5fced3-13f6-43cf-89f8-73e02a39f54c,2e6e569c-b45d-4a34-a028-9efeaf65a457,2025-02-05,45,pre_sale,evaluation,
1db7c876-264d-4b4e-b92e-e087e33433a5,cd5fced3-13f6-43cf-89f8-73e02a39f54c,2e6e569c-b45d-4a34-a028-9efeaf65a457,2025-02-11,45,pre_sale,evaluation,
97283d3f-2736-43e3-bb03-53eb35f855a9,cd5fced3-13f6-43cf-89f8-73e02a39f54c,2e6e569c-b45d-4a34-a028-9efeaf65a457,2025-02-24,60,pre_sale,demo,
1c04094b-3a96-4de5-bfb6-858931f01903,1d3e2c5e-4039-4c63-a08f-d0696a9423b4,feaa122b-29b5-4ec1-ade4-2e770fb6f579,2025-09-11,30,pre_sale,negotiation,
90d24e3a-2597-4ecf-b708-d832a3b869c0,1d3e2c5e-4039-4c63-a08f-d0696a9423b4,feaa122b-29b5-4ec1-ade4-2e770fb6f579,2025-09-25,30,pre_sale,discovery,
4467386c-0771-4642-ae68-959fb964f636,1d3e2c5e-4039-4c63-a08f-d0696a9423b4,feaa122b-29b5-4ec1-ade4-2e770fb6f579,2025-10-04,45,pre_sale,discovery,
7e0b6583-2f9d-457e-ab4d-e8a61c2a4af4,4783a54b-b4a1-4e09-bbf0-3e8f7fdbd4d2,a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,2026-01-10,60,pre_sale,discovery,
df4903e2-0740-40ab-8a8d-f2f89a635922,4783a54b-b4a1-4e09-bbf0-3e8f7fdbd4d2,a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,2026-01-21,30,pre_sale,evaluation,
f2ee435f-fa28-4f37-9206-0f269c7b6abc,4783a54b-b4a1-4e09-bbf0-3e8f7fdbd4d2,a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,2026-01-29,60,pre_sale,demo,
912cd026-badd-40c4-b018-e20019bf2a14,4783a54b-b4a1-4e09-bbf0-3e8f7fdbd4d2,a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,2026-02-05,30,pre_sale,demo,
cd33283c-4f6e-4e89-bcc9-3ea620412715,4783a54b-b4a1-4e09-bbf0-3e8f7fdbd4d2,a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,2026-02-21,90,pre_sale,discovery,
8ac258b0-c50e-4f1b-8c99-a865f8458ce1,12b4f2ed-1466-42ad-8e08-1edb077d418d,8857ab74-ce44-4a70-a738-3c0bb390a0ce,2022-05-25,60,pre_sale,negotiation,
ecd4806b-77dd-473f-a590-11c4f4db7df7,12b4f2ed-1466-42ad-8e08-1edb077d418d,8857ab74-ce44-4a70-a738-3c0bb390a0ce,2022-06-07,30,pre_sale,discovery,
432b64d2-cfef-4028-bfd9-7a64e908fae7,703cbbbb-6282-4278-a219-7a72f1cc6682,02da0177-ebde-4439-baf8-245adb87466e,2022-08-31,90,pre_sale,demo,
667f1e9e-105b-40e9-8cae-df5983a34838,703cbbbb-6282-4278-a219-7a72f1cc6682,02da0177-ebde-4439-baf8-245adb87466e,2022-09-11,45,pre_sale,demo,
def19826-f78f-4025-907f-555f76a7b0a2,703cbbbb-6282-4278-a219-7a72f1cc6682,02da0177-ebde-4439-baf8-245adb87466e,2022-09-22,45,pre_sale,demo,
209804fb-8184-4abf-a207-336ba8ba7187,b1204e47-645c-4594-8e23-89a87699c639,3872ed85-f0cb-4b63-ac8f-8b8f927bdfb7,2024-07-15,45,pre_sale,demo,
b85112b3-4dca-41f7-affd-b9f03ace86c5,b1204e47-645c-4594-8e23-89a87699c639,3872ed85-f0cb-4b63-ac8f-8b8f927bdfb7,2024-08-02,90,pre_sale,evaluation,
cb66aa72-3217-4424-98ac-2203074ac62a,b1204e47-645c-4594-8e23-89a87699c639,3872ed85-f0cb-4b63-ac8f-8b8f927bdfb7,2024-08-14,60,pre_sale,demo,
bcf862f4-9b49-45e1-a085-d3752cfde087,7f7579e0-1d96-4e7a-8ef2-3321c2127d2e,7c66fc91-1056-40c5-af84-4746d117064b,2025-02-26,60,pre_sale,demo,
