id,company_id,owner_id,deal_type,status,stage,deal_value_usd,lost_reason,previous_deal_id,created_at,closed_at,follow_up_at
5d74aa43-7cd7-42a7-9686-f018a98248fa,e739e75e-2a2c-43fe-81c5-b3b665061821,bbaca86f-d318-410f-b984-21485e1fd7eb,new,won,negotiating,500,,,2022-04-22 01:33:40,2022-05-15 01:33:40,
9af4d33d-e244-452d-8d03-0c37f1ebdc16,c96bb386-5ca6-43d9-83b5-f471149a2500,dbe03f3b-518d-4fcd-b4e2-c6047210040d,new,won,negotiating,4800,,,2022-09-20 01:33:40,2022-11-18 01:33:40,
24ba67d7-dc60-40e5-8a4a-6b8782bebf33,9c04e715-2924-4518-84cb-f6e81ae781a4,dbe03f3b-518d-4fcd-b4e2-c6047210040d,new,won,negotiating,4800,,,2024-04-15 01:33:40,2024-06-02 01:33:40,
2e6e569c-b45d-4a34-a028-9efeaf65a457,cd5fced3-13f6-43cf-89f8-73e02a39f54c,bbaca86f-d318-410f-b984-21485e1fd7eb,new,won,negotiating,2400,,,2025-02-04 01:33:40,2025-02-28 01:33:40,
feaa122b-29b5-4ec1-ade4-2e770fb6f579,1d3e2c5e-4039-4c63-a08f-d0696a9423b4,02c9277d-6ae5-4f63-9b0b-9794c509d06e,new,won,negotiating,18000,,,2025-09-10 01:33:40,2025-10-18 01:33:40,
a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,4783a54b-b4a1-4e09-bbf0-3e8f7fdbd4d2,bbaca86f-d318-410f-b984-21485e1fd7eb,new,won,negotiating,4800,,,2026-01-09 01:33:40,2026-03-04 01:33:40,
8857ab74-ce44-4a70-a738-3c0bb390a0ce,12b4f2ed-1466-42ad-8e08-1edb077d418d,3702c4b5-3825-4eb0-aceb-315f1727eb8e,new,won,negotiating,9600,,,2022-05-23 01:33:40,2022-06-17 01:33:40,
02da0177-ebde-4439-baf8-245adb87466e,703cbbbb-6282-4278-a219-7a72f1cc6682,3702c4b5-3825-4eb0-aceb-315f1727eb8e,new,won,negotiating,9600,,,2022-08-30 01:33:40,2022-11-09 01:33:40,
3872ed85-f0cb-4b63-ac8f-8b8f927bdfb7,b1204e47-645c-4594-8e23-89a87699c639,3702c4b5-3825-4eb0-aceb-315f1727eb8e,new,won,negotiating,4800,,,2024-07-15 01:33:40,2024-10-02 01:33:40,
7c66fc91-1056-40c5-af84-4746d117064b,7f7579e0-1d96-4e7a-8ef2-3321c2127d2e,02c9277d-6ae5-4f63-9b0b-9794c509d06e,new,won,negotiating,500,,,2025-02-23 01:33:40,2025-04-01 01:33:40,
776ec0ba-c97d-4ffe-bdcf-2583fa373c7d,72b9e403-0ea5-4989-9d21-6237a1e94045,02c9277d-6ae5-4f63-9b0b-9794c509d06e,new,won,negotiating,500,,,2025-10-07 01:33:40,2025-12-01 01:33:40,
37b7b7ab-cb78-404f-bfb3-e8aaa7e36656,d7aa65dc-bc40-4e8e-9401-dd077b5094d5,bbaca86f-d318-410f-b984-21485e1fd7eb,new,won,negotiating,9600,,,2026-01-27 01:33:40,2026-02-27 01:33:40,
2e32a813-2111-480b-a7a9-fc6159f7ddd8,ad59dbc2-d414-45b9-8368-35937435f8be,3702c4b5-3825-4eb0-aceb-315f1727eb8e,new,won,negotiating,9600,,,2022-05-29 01:33:40,2022-07-18 01:33:40,
523bac4c-bece-40aa-ab54-a77d17245e0d,a87c772b-087d-4f2c-b123-05df9b0d68fb,dbe03f3b-518d-4fcd-b4e2-c6047210040d,new,won,negotiating,1200,,,2023-02-25 01:33:40,2023-04-01 01:33:40,
44f112a6-ce00-4a5d-9755-46be891e9320,c58707dd-8596-4a54-b2b6-a96405b8ccbc,dbe03f3b-518d-4fcd-b4e2-c6047210040d,new,won,negotiating,2400,,,2024-03-24 01:33:40,2024-06-16 01:33:40,
ee000bad-aafe-4905-8d72-4762e85ff977,60def4d7-a92e-4943-96a8-e563c8ef5abb,bbaca86f-d318-410f-b984-21485e1fd7eb,new,won,negotiating,1200,,,2025-02-27 01:33:40,2025-04-26 01:33:40,
4ac86c9b-e748-4fe6-9d83-b1de36526a2d,7a7c719f-2682-4ece-8b37-e1347c657a1f,bbaca86f-d318-410f-b984-21485e1fd7eb,new,won,negotiating,1200,,,2025-11-12 01:33:40,2025-12-20 01:33:40,
ab3995c2-5609-4237-86d2-5ed7a9164ffd,74c838fc-3911-4e59-b0e8-7ede5f03599a,e37f156d-0a49-4e41-a2df-100519c1d60b,new,won,negotiating,2400,,,2026-02-26 01:33:40,2026-05-10 01:33:40,
484c1866-544e-482d-9a56-4fd5106f9069,5f8e2576-c80f-47d5-8e13-21101c9b2a6e,dbe03f3b-518d-4fcd-b4e2-c6047210040d,new,won,negotiating,18000,,,2022-04-23 01:33:40,2022-05-24 01:33:40,
c6498216-f05e-4ced-a827-62e1698059fc,78a5dd78-c41b-4644-ab6e-e1aee1f1a8d7,3702c4b5-3825-4eb0-aceb-315f1727eb8e,new,won,negotiating,4800,,,2022-05-30 01:33:40,2022-08-19 01:33:40,
14488032-372d-46a3-a379-67a98b5c1463,3af3362b-9786-49e0-9a1e-7d81bb0ab7fb,3702c4b5-3825-4eb0-aceb-315f1727eb8e,new,won,negotiating,18000,,,2023-09-27 01:33:40,2023-10-28 01:33:40,
